Subject;Lextale;Num_Mistakes;Experiment;Outcome;Language
1;81,25;0;1;Lexical;L1
1;81,25;0;1;Non-lexical;L1
1;81,25;0;1;Lexical;L2
1;81,25;0;1;Non-lexical;L2
2;92,5;1;1;Lexical;L1
2;92,5;0;1;Non-lexical;L1
2;92,5;0;1;Lexical;L2
2;92,5;0;1;Non-lexical;L2
3;83,75;1;1;Lexical;L1
3;83,75;0;1;Non-lexical;L1
3;83,75;0;1;Lexical;L2
3;83,75;0;1;Non-lexical;L2
4;67,5;0;1;Lexical;L1
4;67,5;0;1;Non-lexical;L1
4;67,5;0;1;Lexical;L2
4;67,5;0;1;Non-lexical;L2
5;83,75;1;1;Lexical;L1
5;83,75;0;1;Non-lexical;L1
5;83,75;0;1;Lexical;L2
5;83,75;2;1;Non-lexical;L2
6;80;0;1;Lexical;L1
6;80;0;1;Non-lexical;L1
6;80;0;1;Lexical;L2
6;80;0;1;Non-lexical;L2
7;75;0;1;Lexical;L1
7;75;0;1;Non-lexical;L1
7;75;0;1;Lexical;L2
7;75;1;1;Non-lexical;L2
8;58,75;1;1;Lexical;L1
8;58,75;0;1;Non-lexical;L1
8;58,75;0;1;Lexical;L2
8;58,75;0;1;Non-lexical;L2
9;81,25;0;1;Lexical;L1
9;81,25;0;1;Non-lexical;L1
9;81,25;0;1;Lexical;L2
9;81,25;0;1;Non-lexical;L2
10;80;0;1;Lexical;L1
10;80;0;1;Non-lexical;L1
10;80;0;1;Lexical;L2
10;80;0;1;Non-lexical;L2
11;63,75;0;1;Lexical;L1
11;63,75;0;1;Non-lexical;L1
11;63,75;0;1;Lexical;L2
11;63,75;0;1;Non-lexical;L2
12;66,25;0;1;Lexical;L1
12;66,25;0;1;Non-lexical;L1
12;66,25;0;1;Lexical;L2
12;66,25;0;1;Non-lexical;L2
13;68,75;0;1;Lexical;L1
13;68,75;0;1;Non-lexical;L1
13;68,75;0;1;Lexical;L2
13;68,75;0;1;Non-lexical;L2
14;83,75;0;1;Lexical;L1
14;83,75;0;1;Non-lexical;L1
