Subject;Lextale;Num_Mistakes;Target;Outcome;Language
1;66,25;0;Non-word;Lexical;L1
1;66,25;0;Non-word;Lexical;L2
1;66,25;0;Non-word;Non-lexical;L1
1;66,25;0;Non-word;Non-lexical;L2
1;66,25;0;Word;Lexical;L1
1;66,25;0;Word;Lexical;L2
1;66,25;0;Word;Non-lexical;L2
1;66,25;1;Word;Non-lexical;L1
2;80;0;Non-word;Lexical;L1
2;80;0;Non-word;Lexical;L2
2;80;0;Non-word;Non-lexical;L1
2;80;0;Non-word;Non-lexical;L2
2;80;0;Word;Lexical;L1
2;80;0;Word;Lexical;L2
2;80;0;Word;Non-lexical;L2
2;80;1;Word;Non-lexical;L1
3;81,25;0;Non-word;Lexical;L1
3;81,25;1;Non-word;Lexical;L2
3;81,25;0;Non-word;Non-lexical;L2
3;81,25;1;Non-word;Non-lexical;L1
3;81,25;0;Word;Lexical;L1
3;81,25;0;Word;Lexical;L2
3;81,25;0;Word;Non-lexical;L1
3;81,25;0;Word;Non-lexical;L2
4;66,25;0;Non-word;Lexical;L1
4;66,25;0;Non-word;Lexical;L2
4;66,25;0;Non-word;Non-lexical;L1
4;66,25;1;Non-word;Non-lexical;L2
4;66,25;0;Word;Lexical;L1
4;66,25;0;Word;Lexical;L2
4;66,25;0;Word;Non-lexical;L2
4;66,25;1;Word;Non-lexical;L1
5;75;0;Non-word;Lexical;L2
5;75;1;Non-word;Lexical;L1
5;75;0;Non-word;Non-lexical;L1
5;75;0;Non-word;Non-lexical;L2
5;75;0;Word;Lexical;L1
5;75;0;Word;Lexical;L2
5;75;0;Word;Non-lexical;L1
5;75;0;Word;Non-lexical;L2
6;58,75;0;Non-word;Lexical;L1
6;58,75;1;Non-word;Lexical;L2
6;58,75;0;Non-word;Non-lexical;L1
6;58,75;0;Non-word;Non-lexical;L2
6;58,75;0;Word;Lexical;L1
6;58,75;0;Word;Lexical;L2
6;58,75;0;Word;Non-lexical;L2
6;58,75;1;Word;Non-lexical;L1
7;88,75;0;Non-word;Lexical;L1
7;88,75;1;Non-word;Lexical;L2
7;88,75;0;Non-word;Non-lexical;L1
7;88,75;0;Non-word;Non-lexical;L2
7;88,75;1;Word;Lexical;L2
7;88,75;2;Word;Lexical;L1
7;88,75;0;Word;Non-lexical;L1
7;88,75;0;Word;Non-lexical;L2
8;93,75;0;Non-word;Lexical;L1
8;93,75;0;Non-word;Lexical;L2
8;93,75;0;Non-word;Non-lexical;L1
8;93,75;0;Non-word;Non-lexical;L2
8;93,75;0;Word;Lexical;L1
8;93,75;0;Word;Lexical;L2
8;93,75;0;Word;Non-lexical;L2
8;93,75;0;Word;Non-lexical;L1
9;55;0;Non-word;Lexical;L1
9;55;0;Non-word;Lexical;L2
9;55;0;Non-word;Non-lexical;L1
9;55;2;Non-word;Non-lexical;L2
9;55;0;Word;Lexical;L1
9;55;1;Word;Lexical;L2
9;55;0;Word;Non-lexical;L1
9;55;0;Word;Non-lexical;L2
10;65;0;Non-word;Lexical;L1
10;65;0;Non-word;Lexical;L2
10;65;0;Non-word;Non-lexical;L1
10;65;0;Non-word;Non-lexical;L2
10;65;0;Word;Lexical;L1
10;65;0;Word;Lexical;L2
10;65;0;Word;Non-lexical;L1
10;65;1;Word;Non-lexical;L2
11;75;1;Non-word;Lexical;L1
11;75;2;Non-word;Lexical;L2
11;75;0;Non-word;Non-lexical;L1
11;75;0;Non-word;Non-lexical;L2
11;75;0;Word;Lexical;L1
11;75;0;Word;Lexical;L2
11;75;0;Word;Non-lexical;L1
11;75;0;Word;Non-lexical;L2
12;86,25;0;Non-word;Lexical;L1
12;86,25;0;Non-word;Lexical;L2
12;86,25;0;Non-word;Non-lexical;L1
12;86,25;1;Non-word;Non-lexical;L2
12;86,25;0;Word;Lexical;L1
12;86,25;0;Word;Lexical;L2
12;86,25;0;Word;Non-lexical;L1
12;86,25;0;Word;Non-lexical;L2
13;90;0;Non-word;Lexical;L1
13;90;0;Non-word;Lexical;L2
13;90;1;Non-word;Non-lexical;L2
13;90;2;Non-word;Non-lexical;L1
13;90;0;Word;Lexical;L1
13;90;0;Word;Lexical;L2
13;90;0;Word;Non-lexical;L1
13;90;0;Word;Non-lexical;L2
14;53,75;0;Non-word;Lexical;L1
14;53,75;0;Non-word;Lexical;L2
14;53,75;0;Non-word;Non-lexical;L1
14;53,75;0;Non-word;Non-lexical;L2
14;53,75;0;Word;Lexical;L1
14;53,75;0;Word;Lexical;L2
14;53,75;0;Word;Non-lexical;L1
14;53,75;0;Word;Non-lexical;L2
15;81,25;0;Non-word;Lexical;L1
15;81,25;0;Non-word;Lexical;L2
15;81,25;0;Non-word;Non-lexical;L1
15;81,25;0;Non-word;Non-lexical;L2
15;81,25;0;Word;Lexical;L1
15;81,25;0;Word;Lexical;L2
15;81,25;0;Word;Non-lexical;L1
15;81,25;0;Word;Non-lexical;L2
16;95;0;Non-word;Lexical;L1
16;95;0;Non-word;Lexical;L2
16;95;0;Non-word;Non-lexical;L1
16;95;0;Non-word;Non-lexical;L2
16;95;0;Word;Lexical;L1
16;95;1;Word;Lexical;L2
16;95;0;Word;Non-lexical;L1
16;95;0;Word;Non-lexical;L2
17;73,75;0;Non-word;Lexical;L1
17;73,75;1;Non-word;Lexical;L2
17;73,75;0;Non-word;Non-lexical;L1
17;73,75;0;Non-word;Non-lexical;L2
17;73,75;1;Word;Lexical;L1
17;73,75;1;Word;Lexical;L2
17;73,75;0;Word;Non-lexical;L1
17;73,75;0;Word;Non-lexical;L2
18;77,5;0;Non-word;Lexical;L1
18;77,5;0;Non-word;Lexical;L2
18;77,5;0;Non-word;Non-lexical;L1
18;77,5;0;Non-word;Non-lexical;L2
18;77,5;0;Word;Lexical;L1
18;77,5;0;Word;Lexical;L2
18;77,5;0;Word;Non-lexical;L1
18;77,5;0;Word;Non-lexical;L2
19;65;0;Non-word;Lexical;L1
19;65;0;Non-word;Lexical;L2
19;65;0;Non-word;Non-lexical;L1
19;65;0;Non-word;Non-lexical;L2
19;65;0;Word;Lexical;L1
19;65;1;Word;Lexical;L2
19;65;0;Word;Non-lexical;L2
19;65;1;Word;Non-lexical;L1
20;77,5;0;Non-word;Lexical;L1
20;77,5;0;Non-word;Lexical;L2
20;77,5;0;Non-word;Non-lexical;L1
20;77,5;0;Non-word;Non-lexical;L2
20;77,5;0;Word;Lexical;L1
20;77,5;0;Word;Lexical;L2
20;77,5;0;Word;Non-lexical;L1
20;77,5;0;Word;Non-lexical;L2
21;63,75;0;Non-word;Lexical;L1
21;63,75;0;Non-word;Lexical;L2
21;63,75;0;Non-word;Non-lexical;L1
21;63,75;0;Non-word;Non-lexical;L2
21;63,75;0;Word;Lexical;L2
21;63,75;1;Word;Lexical;L1
21;63,75;0;Word;Non-lexical;L1
21;63,75;0;Word;Non-lexical;L2
22;61,25;0;Non-word;Lexical;L1
22;61,25;1;Non-word;Lexical;L2
22;61,25;0;Non-word;Non-lexical;L1
22;61,25;0;Non-word;Non-lexical;L2
22;61,25;0;Word;Lexical;L1
22;61,25;1;Word;Lexical;L2
22;61,25;0;Word;Non-lexical;L1
22;61,25;0;Word;Non-lexical;L2
23;70;0;Non-word;Lexical;L2
23;70;1;Non-word;Lexical;L1
23;70;0;Non-word;Non-lexical;L1
23;70;0;Non-word;Non-lexical;L2
23;70;0;Word;Lexical;L1
23;70;0;Word;Lexical;L2
23;70;0;Word;Non-lexical;L1
23;70;0;Word;Non-lexical;L2
24;88,75;0;Non-word;Lexical;L2
24;88,75;1;Non-word;Lexical;L1
24;88,75;0;Non-word;Non-lexical;L1
24;88,75;0;Non-word;Non-lexical;L2
24;88,75;0;Word;Lexical;L1
24;88,75;0;Word;Lexical;L2
24;88,75;0;Word;Non-lexical;L2
24;88,75;1;Word;Non-lexical;L1
25;60;0;Non-word;Lexical;L1
25;60;0;Non-word;Lexical;L2
25;60;0;Non-word;Non-lexical;L1
25;60;0;Non-word;Non-lexical;L2
25;60;0;Word;Lexical;L2
25;60;1;Word;Lexical;L1
25;60;0;Word;Non-lexical;L2
25;60;1;Word;Non-lexical;L1
26;70;0;Non-word;Lexical;L1
26;70;0;Non-word;Lexical;L2
26;70;0;Non-word;Non-lexical;L1
26;70;0;Non-word;Non-lexical;L2
26;70;0;Word;Lexical;L1
26;70;1;Word;Lexical;L2
26;70;0;Word;Non-lexical;L1
26;70;0;Word;Non-lexical;L2
27;83,75;0;Non-word;Lexical;L1
27;83,75;0;Non-word;Lexical;L2
27;83,75;0;Non-word;Non-lexical;L1
27;83,75;0;Non-word;Non-lexical;L2
27;83,75;0;Word;Lexical;L1
27;83,75;0;Word;Lexical;L2
27;83,75;0;Word;Non-lexical;L1
27;83,75;0;Word;Non-lexical;L2
28;60;0;Non-word;Lexical;L1
28;60;0;Non-word;Lexical;L2
28;60;0;Non-word;Non-lexical;L2
28;60;1;Non-word;Non-lexical;L1
28;60;2;Word;Lexical;L2
28;60;3;Word;Lexical;L1
28;60;0;Word;Non-lexical;L1
28;60;0;Word;Non-lexical;L2
29;60;0;Non-word;Lexical;L2
29;60;1;Non-word;Lexical;L1
29;60;0;Non-word;Non-lexical;L1
29;60;0;Non-word;Non-lexical;L2
29;60;0;Word;Lexical;L1
29;60;0;Word;Lexical;L2
29;60;0;Word;Non-lexical;L1
29;60;0;Word;Non-lexical;L2
30;78,75;0;Non-word;Lexical;L1
30;78,75;0;Non-word;Lexical;L2
30;78,75;0;Non-word;Non-lexical;L1
30;78,75;0;Non-word;Non-lexical;L2
30;78,75;0;Word;Lexical;L1
30;78,75;0;Word;Lexical;L2
30;78,75;0;Word;Non-lexical;L1
30;78,75;0;Word;Non-lexical;L2
31;56,25;0;Non-word;Lexical;L2
31;56,25;3;Non-word;Lexical;L1
31;56,25;0;Non-word;Non-lexical;L2
31;56,25;1;Non-word;Non-lexical;L1
31;56,25;0;Word;Lexical;L1
31;56,25;0;Word;Lexical;L2
31;56,25;0;Word;Non-lexical;L1
31;56,25;0;Word;Non-lexical;L2
32;65;0;Non-word;Lexical;L1
32;65;0;Non-word;Lexical;L2
32;65;0;Non-word;Non-lexical;L1
32;65;0;Non-word;Non-lexical;L2
32;65;0;Word;Lexical;L1
32;65;0;Word;Lexical;L2
32;65;0;Word;Non-lexical;L1
32;65;0;Word;Non-lexical;L2
33;70;0;Non-word;Lexical;L1
33;70;0;Non-word;Lexical;L2
33;70;0;Non-word;Non-lexical;L1
33;70;0;Non-word;Non-lexical;L2
33;70;0;Word;Lexical;L1
33;70;0;Word;Lexical;L2
33;70;0;Word;Non-lexical;L1
33;70;0;Word;Non-lexical;L2
34;71,25;0;Non-word;Lexical;L2
34;71,25;2;Non-word;Lexical;L1
34;71,25;0;Non-word;Non-lexical;L1
34;71,25;0;Non-word;Non-lexical;L2
34;71,25;0;Word;Lexical;L1
34;71,25;0;Word;Lexical;L2
34;71,25;0;Word;Non-lexical;L1
34;71,25;0;Word;Non-lexical;L2
35;96,25;0;Non-word;Lexical;L1
35;96,25;1;Non-word;Lexical;L2
35;96,25;0;Non-word;Non-lexical;L1
35;96,25;0;Non-word;Non-lexical;L2
35;96,25;0;Word;Lexical;L1
35;96,25;0;Word;Lexical;L2
35;96,25;0;Word;Non-lexical;L1
35;96,25;0;Word;Non-lexical;L2
36;87,5;0;Non-word;Lexical;L1
36;87,5;0;Non-word;Lexical;L2
36;87,5;0;Non-word;Non-lexical;L1
36;87,5;0;Non-word;Non-lexical;L2
36;87,5;0;Word;Lexical;L1
36;87,5;0;Word;Lexical;L2
36;87,5;0;Word;Non-lexical;L1
36;87,5;0;Word;Non-lexical;L2
37;83,75;0;Non-word;Lexical;L2
37;83,75;1;Non-word;Lexical;L1
37;83,75;0;Non-word;Non-lexical;L1
37;83,75;0;Non-word;Non-lexical;L2
37;83,75;0;Word;Lexical;L2
37;83,75;1;Word;Lexical;L1
37;83,75;0;Word;Non-lexical;L1
37;83,75;0;Word;Non-lexical;L2
38;92,5;0;Non-word;Lexical;L1
38;92,5;0;Non-word;Lexical;L2
38;92,5;0;Non-word;Non-lexical;L1
38;92,5;0;Non-word;Non-lexical;L2
38;92,5;0;Word;Lexical;L1
38;92,5;0;Word;Lexical;L2
38;92,5;0;Word;Non-lexical;L1
38;92,5;0;Word;Non-lexical;L2
39;65;0;Non-word;Lexical;L1
39;65;0;Non-word;Lexical;L2
39;65;0;Non-word;Non-lexical;L1
39;65;0;Non-word;Non-lexical;L2
39;65;0;Word;Lexical;L1
39;65;0;Word;Lexical;L2
39;65;0;Word;Non-lexical;L2
39;65;1;Word;Non-lexical;L1
40;86,25;0;Non-word;Lexical;L1
40;86,25;1;Non-word;Lexical;L2
40;86,25;0;Non-word;Non-lexical;L1
40;86,25;0;Non-word;Non-lexical;L2
40;86,25;0;Word;Lexical;L1
40;86,25;0;Word;Lexical;L2
40;86,25;0;Word;Non-lexical;L2
40;86,25;1;Word;Non-lexical;L1
41;66,25;0;Non-word;Lexical;L1
41;66,25;0;Non-word;Lexical;L2
41;66,25;0;Non-word;Non-lexical;L1
41;66,25;0;Non-word;Non-lexical;L2
41;66,25;0;Word;Lexical;L2
41;66,25;1;Word;Lexical;L1
41;66,25;0;Word;Non-lexical;L2
41;66,25;1;Word;Non-lexical;L1
42;61,25;0;Non-word;Lexical;L2
42;61,25;1;Non-word;Lexical;L1
42;61,25;0;Non-word;Non-lexical;L1
42;61,25;0;Non-word;Non-lexical;L2
42;61,25;0;Word;Lexical;L1
42;61,25;0;Word;Lexical;L2
42;61,25;0;Word;Non-lexical;L1
42;61,25;0;Word;Non-lexical;L2
43;65;0;Non-word;Lexical;L1
43;65;0;Non-word;Lexical;L2
43;65;0;Non-word;Non-lexical;L1
43;65;0;Non-word;Non-lexical;L2
43;65;0;Word;Lexical;L1
43;65;0;Word;Lexical;L2
43;65;0;Word;Non-lexical;L1
43;65;0;Word;Non-lexical;L2
44;83,75;0;Non-word;Lexical;L1
44;83,75;0;Non-word;Lexical;L2
44;83,75;0;Non-word;Non-lexical;L1
44;83,75;0;Non-word;Non-lexical;L2
44;83,75;0;Word;Lexical;L1
44;83,75;0;Word;Lexical;L2
44;83,75;0;Word;Non-lexical;L1
44;83,75;0;Word;Non-lexical;L2
45;92,5;0;Non-word;Lexical;L1
45;92,5;1;Non-word;Lexical;L2
45;92,5;0;Non-word;Non-lexical;L1
45;92,5;0;Non-word;Non-lexical;L2
45;92,5;0;Word;Lexical;L1
45;92,5;0;Word;Lexical;L2
45;92,5;0;Word;Non-lexical;L1
45;92,5;0;Word;Non-lexical;L2
46;82,5;0;Non-word;Lexical;L1
46;82,5;0;Non-word;Lexical;L2
46;82,5;0;Non-word;Non-lexical;L1
46;82,5;0;Non-word;Non-lexical;L2
46;82,5;0;Word;Lexical;L1
46;82,5;0;Word;Lexical;L2
46;82,5;0;Word;Non-lexical;L1
46;82,5;0;Word;Non-lexical;L2
47;58,75;0;Non-word;Lexical;L1
47;58,75;0;Non-word;Lexical;L2
47;58,75;0;Non-word;Non-lexical;L1
47;58,75;0;Non-word;Non-lexical;L2
47;58,75;0;Word;Lexical;L1
47;58,75;0;Word;Lexical;L2
47;58,75;0;Word;Non-lexical;L1
47;58,75;0;Word;Non-lexical;L2
48;62,5;0;Non-word;Lexical;L2
48;62,5;2;Non-word;Lexical;L1
48;62,5;0;Non-word;Non-lexical;L1
48;62,5;0;Non-word;Non-lexical;L2
48;62,5;0;Word;Lexical;L1
48;62,5;0;Word;Lexical;L2
48;62,5;0;Word;Non-lexical;L1
48;62,5;0;Word;Non-lexical;L2
49;63,75;0;Non-word;Lexical;L1
49;63,75;0;Non-word;Lexical;L2
49;63,75;0;Non-word;Non-lexical;L1
49;63,75;0;Non-word;Non-lexical;L2
49;63,75;0;Word;Lexical;L1
49;63,75;0;Word;Lexical;L2
49;63,75;0;Word;Non-lexical;L2
49;63,75;0;Word;Non-lexical;L1
50;67,5;0;Non-word;Lexical;L1
50;67,5;1;Non-word;Lexical;L2
50;67,5;1;Non-word;Non-lexical;L1
50;67,5;0;Non-word;Non-lexical;L2
50;67,5;0;Word;Lexical;L1
50;67,5;1;Word;Lexical;L2
50;67,5;0;Word;Non-lexical;L2
50;67,5;0;Word;Non-lexical;L1
51;60;1;Non-word;Lexical;L1
51;60;0;Non-word;Lexical;L2
51;60;1;Non-word;Non-lexical;L2
51;60;1;Non-word;Non-lexical;L1
51;60;0;Word;Lexical;L1
51;60;2;Word;Lexical;L2
51;60;0;Word;Non-lexical;L1
51;60;0;Word;Non-lexical;L2
52;72,5;0;Non-word;Lexical;L1
52;72,5;0;Non-word;Lexical;L2
52;72,5;0;Non-word;Non-lexical;L1
52;72,5;0;Non-word;Non-lexical;L2
